name,price,section
Aluminum Foil,8.84,miscellaneous
Apples,10.81,produce
Bacon,9.01,meat
Bagles,10.67,bread
Baguette/French Bread,5.01,bread
Barbeque Sauce,16.96,packaged
Butter,4.29,dairy
Carrots,2.88,produce
Cheese,1.75,dairy
Coffee,6.17,packaged
Cold Cuts,1.47,deli
Cream Cheese,16.11,dairy
Croissants,6.36,bread
Eggs,2.66,dairy
Fish,0.49,meat
Flour,8.74,bulk
Fruit,8.87,produce
Grapes,8.78,produce
Green Beans,7.86,produce
Ground Beef,16.03,meat
Ham,13.27,meat
Honey,9.31,packaged
Ice Cream,14.08,frozen
Ketchup,2.94,packaged
Lemons,17.24,produce
Lettuce,16.28,produce
Milk,2.34,dairy
Mushrooms,16.68,produce
Oil,5.25,packaged
Onions,1.11,produce
Orange Juice,2.52,frozen
Oranges,3.40,produce
Pasta,13.39,bulk
Pizza,16.61,frozen
Potatoes,13.29,produce
Rice,5.23,bulk
Salami,12.70,meat
Soda,11.21,miscellaneous
Sour Cream,1.73,dairy
Tomatoes,1.56,produce
Yogurt,18.67,dairy
